recommendation_id,project_id,recommended_by,recommendation_date,recommended_work_type,recommended_amount,reason,approval_status,approval_date,remarks
REC-00198,MPLADS-SYN-0198,MP-709,2025-12-12,Library,1390000,Local infrastructure need,Under Review,2026-01-10,Synthetic demonstration record
REC-00199,MPLADS-SYN-0199,MP-124,2026-01-23,Road,2000000,Community facility,Under Review,2026-02-18,Synthetic demonstration record
REC-00200,MPLADS-SYN-0200,MP-905,2025-12-07,School Building,4310000,Water and sanitation,Approved,2026-01-03,Synthetic demonstration record
REC-00201,MPLADS-SYN-0201,MP-722,2026-04-28,Community Hall,2450000,Community facility,Approved,2026-06-25,Synthetic demonstration record
REC-00202,MPLADS-SYN-0202,MP-969,2025-10-17,Street Lighting,1020000,Water and sanitation,Approved,2025-11-24,Synthetic demonstration record
REC-00203,MPLADS-SYN-0203,MP-133,2026-04-16,Community Hall,3840000,Local infrastructure need,Approved,2026-05-06,Synthetic demonstration record
REC-00204,MPLADS-SYN-0204,MP-724,2025-11-04,Drinking Water,710000,Local infrastructure need,Under Review,2025-12-08,Synthetic demonstration record
REC-00205,MPLADS-SYN-0205,MP-100,2025-11-12,Health Facility,4430000,Road connectivity,Under Review,2025-12-08,Synthetic demonstration record
REC-00206,MPLADS-SYN-0206,MP-522,2026-01-29,Drinking Water,760000,Road connectivity,Rejected,2026-03-24,Synthetic demonstration record
REC-00207,MPLADS-SYN-0207,MP-876,2025-11-23,Drainage,2090000,Local infrastructure need,Under Review,2026-01-14,Synthetic demonstration record
REC-00208,MPLADS-SYN-0208,MP-113,2025-11-30,Health Facility,2310000,Local infrastructure need,Approved,2026-01-17,Synthetic demonstration record
REC-00209,MPLADS-SYN-0209,MP-199,2025-12-05,Sports Facility,1950000,Water and sanitation,Under Review,2026-01-18,Synthetic demonstration record
REC-00210,MPLADS-SYN-0210,MP-720,2025-11-17,Drainage,2350000,Local infrastructure need,Under Review,2026-01-11,Synthetic demonstration record
REC-00211,MPLADS-SYN-0211,MP-717,2025-11-22,Drinking Water,440000,Community facility,Approved,2025-12-28,Synthetic demonstration record
REC-00212,MPLADS-SYN-0212,MP-329,2025-12-01,Health Facility,3010000,Community facility,Approved,2026-01-09,Synthetic demonstration record
REC-00213,MPLADS-SYN-0213,MP-727,2026-04-13,Community Hall,2760000,Community facility,Rejected,2026-05-27,Synthetic demonstration record
REC-00214,MPLADS-SYN-0214,MP-336,2025-11-19,Sports Facility,1050000,Water and sanitation,Rejected,2025-12-15,Synthetic demonstration record
REC-00215,MPLADS-SYN-0215,MP-698,2026-04-05,Solar Lighting,1300000,Water and sanitation,Approved,2026-04-22,Synthetic demonstration record
REC-00216,MPLADS-SYN-0216,MP-879,2026-05-16,Drinking Water,970000,Public utility improvement,Rejected,2026-06-11,Synthetic demonstration record
REC-00217,MPLADS-SYN-0217,MP-412,2026-04-23,Sports Facility,1020000,Public utility improvement,Approved,2026-05-11,Synthetic demonstration record
REC-00218,MPLADS-SYN-0218,MP-621,2025-11-05,Sports Facility,2190000,Water and sanitation,Rejected,2025-11-30,Synthetic demonstration record
REC-00219,MPLADS-SYN-0219,MP-471,2026-06-08,Library,440000,Community facility,Rejected,2026-06-29,Synthetic demonstration record
REC-00220,MPLADS-SYN-0220,MP-964,2025-12-16,Drainage,2170000,Road connectivity,Under Review,2026-02-12,Synthetic demonstration record
REC-00221,MPLADS-SYN-0221,MP-732,2026-01-26,Street Lighting,500000,Public utility improvement,Approved,2026-03-13,Synthetic demonstration record
REC-00222,MPLADS-SYN-0222,MP-107,2026-03-26,School Building,2350000,Local infrastructure need,Approved,2026-05-23,Synthetic demonstration record
REC-00223,MPLADS-SYN-0223,MP-415,2026-01-08,Health Facility,1270000,Community facility,Approved,2026-02-21,Synthetic demonstration record
REC-00224,MPLADS-SYN-0224,MP-611,2025-11-14,Solar Lighting,960000,Public utility improvement,Approved,2025-12-25,Synthetic demonstration record
REC-00225,MPLADS-SYN-0225,MP-936,2026-03-08,Street Lighting,330000,Community facility,Rejected,2026-04-24,Synthetic demonstration record
REC-00226,MPLADS-SYN-0226,MP-516,2025-12-24,Community Hall,3090000,Community facility,Rejected,2026-01-12,Synthetic demonstration record
REC-00227,MPLADS-SYN-0227,MP-874,2026-01-04,Sports Facility,2220000,Community facility,Under Review,2026-03-03,Synthetic demonstration record
REC-00228,MPLADS-SYN-0228,MP-585,2026-02-17,Street Lighting,1080000,Public utility improvement,Under Review,2026-04-05,Synthetic demonstration record
REC-00229,MPLADS-SYN-0229,MP-590,2026-03-25,Community Hall,1760000,Community facility,Under Review,2026-04-22,Synthetic demonstration record
REC-00230,MPLADS-SYN-0230,MP-299,2025-11-05,Drinking Water,850000,Water and sanitation,Under Review,2025-12-07,Synthetic demonstration record
REC-00231,MPLADS-SYN-0231,MP-152,2026-04-12,Community Hall,3300000,Public utility improvement,Rejected,2026-05-09,Synthetic demonstration record
REC-00232,MPLADS-SYN-0232,MP-601,2026-05-02,Street Lighting,460000,Water and sanitation,Rejected,2026-06-28,Synthetic demonstration record
REC-00233,MPLADS-SYN-0233,MP-921,2026-05-11,Road,1210000,Road connectivity,Rejected,2026-06-11,Synthetic demonstration record
REC-00234,MPLADS-SYN-0234,MP-630,2026-03-14,Library,990000,Water and sanitation,Rejected,2026-04-22,Synthetic demonstration record
REC-00235,MPLADS-SYN-0235,MP-365,2026-04-07,School Building,1950000,Community facility,Under Review,2026-05-20,Synthetic demonstration record
REC-00236,MPLADS-SYN-0236,MP-457,2026-03-27,Sports Facility,850000,Road connectivity,Approved,2026-04-28,Synthetic demonstration record
REC-00237,MPLADS-SYN-0237,MP-358,2026-01-18,School Building,1160000,Road connectivity,Approved,2026-03-19,Synthetic demonstration record
REC-00238,MPLADS-SYN-0238,MP-232,2026-03-15,School Building,1460000,Road connectivity,Approved,2026-04-22,Synthetic demonstration record
REC-00239,MPLADS-SYN-0239,MP-553,2026-05-09,Solar Lighting,1050000,Water and sanitation,Approved,2026-07-01,Synthetic demonstration record
REC-00240,MPLADS-SYN-0240,MP-105,2025-10-04,Sports Facility,500000,Community facility,Under Review,2025-12-01,Synthetic demonstration record
REC-00241,MPLADS-SYN-0241,MP-725,2025-11-02,Road,1510000,Water and sanitation,Under Review,2025-12-01,Synthetic demonstration record
REC-00242,MPLADS-SYN-0242,MP-738,2026-04-24,Sports Facility,1940000,Road connectivity,Under Review,2026-05-10,Synthetic demonstration record
REC-00243,MPLADS-SYN-0243,MP-551,2026-05-07,School Building,1960000,Road connectivity,Under Review,2026-06-26,Synthetic demonstration record
REC-00244,MPLADS-SYN-0244,MP-891,2026-06-04,Library,730000,Water and sanitation,Approved,2026-07-12,Synthetic demonstration record
REC-00245,MPLADS-SYN-0245,MP-644,2025-12-04,School Building,2990000,Public utility improvement,Approved,2026-01-22,Synthetic demonstration record
REC-00246,MPLADS-SYN-0246,MP-512,2026-04-09,Library,1590000,Community facility,Approved,2026-05-05,Synthetic demonstration record
REC-00247,MPLADS-SYN-0247,MP-223,2025-12-05,Drinking Water,460000,Public utility improvement,Rejected,2026-01-27,Synthetic demonstration record
REC-00248,MPLADS-SYN-0248,MP-410,2025-11-22,Road,2120000,Community facility,Approved,2026-01-20,Synthetic demonstration record
REC-00249,MPLADS-SYN-0249,MP-930,2026-02-27,Drainage,440000,Local infrastructure need,Rejected,2026-03-28,Synthetic demonstration record
REC-00250,MPLADS-SYN-0250,MP-314,2026-04-11,Street Lighting,240000,Local infrastructure need,Under Review,2026-05-01,Synthetic demonstration record
REC-00251,MPLADS-SYN-0251,MP-101,2025-12-25,Community Hall,3570000,Water and sanitation,Approved,2026-01-20,Synthetic demonstration record
REC-00252,MPLADS-SYN-0252,MP-363,2026-03-24,Street Lighting,970000,Local infrastructure need,Under Review,2026-04-14,Synthetic demonstration record
REC-00253,MPLADS-SYN-0253,MP-921,2026-03-28,Sports Facility,1220000,Public utility improvement,Rejected,2026-05-05,Synthetic demonstration record
REC-00254,MPLADS-SYN-0254,MP-335,2026-03-28,Road,2630000,Community facility,Rejected,2026-05-22,Synthetic demonstration record
REC-00255,MPLADS-SYN-0255,MP-542,2026-04-20,Solar Lighting,990000,Public utility improvement,Approved,2026-05-23,Synthetic demonstration record
REC-00256,MPLADS-SYN-0256,MP-578,2025-11-05,Solar Lighting,1250000,Road connectivity,Rejected,2025-12-07,Synthetic demonstration record
REC-00257,MPLADS-SYN-0257,MP-907,2026-01-10,Street Lighting,1440000,Water and sanitation,Rejected,2026-01-27,Synthetic demonstration record
REC-00258,MPLADS-SYN-0258,MP-323,2025-12-07,Street Lighting,1200000,Public utility improvement,Rejected,2026-01-03,Synthetic demonstration record
REC-00259,MPLADS-SYN-0259,MP-734,2025-09-20,Street Lighting,760000,Water and sanitation,Under Review,2025-10-12,Synthetic demonstration record
REC-00260,MPLADS-SYN-0260,MP-708,2026-05-26,Road,670000,Public utility improvement,Approved,2026-07-25,Synthetic demonstration record
REC-00261,MPLADS-SYN-0261,MP-390,2025-11-19,Sports Facility,810000,Local infrastructure need,Approved,2025-12-09,Synthetic demonstration record
REC-00262,MPLADS-SYN-0262,MP-283,2026-04-16,School Building,3800000,Water and sanitation,Rejected,2026-05-03,Synthetic demonstration record
REC-00263,MPLADS-SYN-0263,MP-923,2026-03-04,School Building,2470000,Community facility,Approved,2026-05-01,Synthetic demonstration record
REC-00264,MPLADS-SYN-0264,MP-435,2026-02-25,Road,1340000,Local infrastructure need,Rejected,2026-03-31,Synthetic demonstration record
REC-00265,MPLADS-SYN-0265,MP-368,2025-11-19,Library,1120000,Community facility,Rejected,2026-01-03,Synthetic demonstration record
REC-00266,MPLADS-SYN-0266,MP-749,2025-10-04,Library,540000,Water and sanitation,Approved,2025-11-21,Synthetic demonstration record
REC-00267,MPLADS-SYN-0267,MP-341,2026-06-19,Solar Lighting,1200000,Local infrastructure need,Rejected,2026-07-09,Synthetic demonstration record
REC-00268,MPLADS-SYN-0268,MP-357,2025-12-28,Drinking Water,1740000,Public utility improvement,Under Review,2026-02-09,Synthetic demonstration record
REC-00269,MPLADS-SYN-0269,MP-480,2026-02-14,School Building,4690000,Road connectivity,Rejected,2026-04-03,Synthetic demonstration record
REC-00270,MPLADS-SYN-0270,MP-315,2026-01-23,Sports Facility,2030000,Road connectivity,Approved,2026-03-01,Synthetic demonstration record
REC-00271,MPLADS-SYN-0271,MP-875,2026-01-07,Health Facility,3050000,Public utility improvement,Rejected,2026-01-24,Synthetic demonstration record
REC-00272,MPLADS-SYN-0272,MP-878,2026-01-18,Health Facility,4400000,Water and sanitation,Approved,2026-02-27,Synthetic demonstration record
REC-00273,MPLADS-SYN-0273,MP-581,2026-02-07,Sports Facility,2140000,Road connectivity,Rejected,2026-03-24,Synthetic demonstration record
REC-00274,MPLADS-SYN-0274,MP-592,2026-07-11,Drinking Water,500000,Local infrastructure need,Approved,2026-08-05,Synthetic demonstration record
REC-00275,MPLADS-SYN-0275,MP-286,2026-04-21,Library,740000,Public utility improvement,Rejected,2026-05-12,Synthetic demonstration record
REC-00276,MPLADS-SYN-0276,MP-683,2025-12-07,School Building,3740000,Local infrastructure need,Approved,2026-01-03,Synthetic demonstration record
REC-00277,MPLADS-SYN-0277,MP-572,2026-01-05,Library,810000,Road connectivity,Under Review,2026-02-27,Synthetic demonstration record
REC-00278,MPLADS-SYN-0278,MP-702,2025-09-22,Health Facility,4090000,Community facility,Under Review,2025-11-19,Synthetic demonstration record
REC-00279,MPLADS-SYN-0279,MP-816,2025-12-21,Community Hall,3270000,Public utility improvement,Approved,2026-02-05,Synthetic demonstration record
REC-00280,MPLADS-SYN-0280,MP-612,2026-03-14,Road,1270000,Water and sanitation,Approved,2026-04-19,Synthetic demonstration record
REC-00281,MPLADS-SYN-0281,MP-617,2025-11-04,Sports Facility,1480000,Local infrastructure need,Rejected,2025-12-26,Synthetic demonstration record
REC-00282,MPLADS-SYN-0282,MP-876,2026-05-04,Road,900000,Local infrastructure need,Rejected,2026-06-29,Synthetic demonstration record
REC-00283,MPLADS-SYN-0283,MP-221,2025-12-29,Community Hall,2560000,Local infrastructure need,Rejected,2026-01-30,Synthetic demonstration record
REC-00284,MPLADS-SYN-0284,MP-607,2026-04-17,Community Hall,2890000,Local infrastructure need,Rejected,2026-06-04,Synthetic demonstration record
REC-00285,MPLADS-SYN-0285,MP-879,2025-12-21,Community Hall,2860000,Community facility,Under Review,2026-02-02,Synthetic demonstration record
REC-00286,MPLADS-SYN-0286,MP-848,2026-05-09,Sports Facility,2400000,Road connectivity,Approved,2026-05-24,Synthetic demonstration record
REC-00287,MPLADS-SYN-0287,MP-360,2025-11-05,Drinking Water,1650000,Community facility,Under Review,2025-12-19,Synthetic demonstration record
REC-00288,MPLADS-SYN-0288,MP-543,2026-05-10,Sports Facility,1960000,Road connectivity,Under Review,2026-07-08,Synthetic demonstration record
REC-00289,MPLADS-SYN-0289,MP-107,2026-02-14,Sports Facility,1150000,Road connectivity,Under Review,2026-04-09,Synthetic demonstration record
REC-00290,MPLADS-SYN-0290,MP-590,2026-05-31,Sports Facility,1650000,Public utility improvement,Approved,2026-07-24,Synthetic demonstration record
REC-00291,MPLADS-SYN-0291,MP-293,2026-03-06,Library,1260000,Local infrastructure need,Rejected,2026-04-25,Synthetic demonstration record
REC-00292,MPLADS-SYN-0292,MP-350,2026-05-12,Health Facility,4570000,Water and sanitation,Under Review,2026-06-11,Synthetic demonstration record
REC-00293,MPLADS-SYN-0293,MP-538,2026-05-10,Sports Facility,1000000,Water and sanitation,Under Review,2026-07-03,Synthetic demonstration record
REC-00294,MPLADS-SYN-0294,MP-948,2026-03-06,Road,2270000,Road connectivity,Under Review,2026-04-07,Synthetic demonstration record
REC-00295,MPLADS-SYN-0295,MP-664,2026-04-13,Library,730000,Community facility,Under Review,2026-06-04,Synthetic demonstration record
REC-00296,MPLADS-SYN-0296,MP-124,2026-06-05,Drinking Water,1830000,Public utility improvement,Approved,2026-07-30,Synthetic demonstration record
REC-00297,MPLADS-SYN-0297,MP-572,2026-07-01,Street Lighting,1030000,Road connectivity,Rejected,2026-07-16,Synthetic demonstration record
REC-00298,MPLADS-SYN-0298,MP-258,2026-04-29,Road,1310000,Water and sanitation,Approved,2026-05-21,Synthetic demonstration record
REC-00299,MPLADS-SYN-0299,MP-262,2026-05-24,Street Lighting,710000,Public utility improvement,Approved,2026-06-16,Synthetic demonstration record
REC-00300,MPLADS-SYN-0300,MP-712,2026-02-01,Drainage,2430000,Community facility,Rejected,2026-03-12,Synthetic demonstration record
REC-00301,MPLADS-SYN-0301,MP-324,2026-02-14,Community Hall,1790000,Local infrastructure need,Approved,2026-03-16,Synthetic demonstration record
REC-00302,MPLADS-SYN-0302,MP-970,2026-01-01,Solar Lighting,550000,Water and sanitation,Under Review,2026-02-01,Synthetic demonstration record
REC-00303,MPLADS-SYN-0303,MP-350,2026-06-16,School Building,4370000,Local infrastructure need,Rejected,2026-08-08,Synthetic demonstration record
REC-00304,MPLADS-SYN-0304,MP-707,2025-11-22,Road,2770000,Local infrastructure need,Under Review,2025-12-24,Synthetic demonstration record
REC-00305,MPLADS-SYN-0305,MP-923,2026-01-30,Drinking Water,1570000,Public utility improvement,Rejected,2026-02-27,Synthetic demonstration record
REC-00306,MPLADS-SYN-0306,MP-126,2026-05-26,Drinking Water,1940000,Local infrastructure need,Approved,2026-07-20,Synthetic demonstration record
REC-00307,MPLADS-SYN-0307,MP-465,2026-03-02,Drinking Water,330000,Public utility improvement,Approved,2026-04-21,Synthetic demonstration record
REC-00308,MPLADS-SYN-0308,MP-104,2026-01-27,Community Hall,2920000,Local infrastructure need,Under Review,2026-02-19,Synthetic demonstration record
REC-00309,MPLADS-SYN-0309,MP-180,2026-07-01,Health Facility,3710000,Community facility,Approved,2026-08-29,Synthetic demonstration record
REC-00310,MPLADS-SYN-0310,MP-876,2026-01-16,Sports Facility,1990000,Water and sanitation,Approved,2026-02-03,Synthetic demonstration record
REC-00311,MPLADS-SYN-0311,MP-641,2026-04-17,Drinking Water,1750000,Local infrastructure need,Approved,2026-06-07,Synthetic demonstration record
REC-00312,MPLADS-SYN-0312,MP-157,2025-12-25,Solar Lighting,430000,Road connectivity,Under Review,2026-02-11,Synthetic demonstration record
REC-00313,MPLADS-SYN-0313,MP-825,2026-02-07,Sports Facility,1760000,Water and sanitation,Approved,2026-03-27,Synthetic demonstration record
REC-00314,MPLADS-SYN-0314,MP-554,2026-06-02,Street Lighting,330000,Water and sanitation,Rejected,2026-06-30,Synthetic demonstration record
REC-00315,MPLADS-SYN-0315,MP-930,2025-10-07,Sports Facility,2050000,Community facility,Approved,2025-11-08,Synthetic demonstration record
REC-00316,MPLADS-SYN-0316,MP-753,2025-12-01,Drinking Water,1220000,Road connectivity,Approved,2026-01-18,Synthetic demonstration record
REC-00317,MPLADS-SYN-0317,MP-483,2025-12-29,Solar Lighting,350000,Local infrastructure need,Approved,2026-02-13,Synthetic demonstration record
REC-00318,MPLADS-SYN-0318,MP-980,2026-07-08,Drinking Water,1010000,Public utility improvement,Approved,2026-08-19,Synthetic demonstration record
REC-00319,MPLADS-SYN-0319,MP-972,2026-01-29,Drainage,2170000,Public utility improvement,Under Review,2026-02-19,Synthetic demonstration record
REC-00320,MPLADS-SYN-0320,MP-451,2026-03-30,Solar Lighting,270000,Public utility improvement,Under Review,2026-05-07,Synthetic demonstration record
REC-00321,MPLADS-SYN-0321,MP-578,2025-10-19,School Building,4960000,Water and sanitation,Approved,2025-11-24,Synthetic demonstration record
REC-00322,MPLADS-SYN-0322,MP-705,2026-01-10,Health Facility,3460000,Local infrastructure need,Approved,2026-01-28,Synthetic demonstration record
REC-00323,MPLADS-SYN-0323,MP-226,2026-04-19,Street Lighting,540000,Community facility,Rejected,2026-06-12,Synthetic demonstration record
REC-00324,MPLADS-SYN-0324,MP-965,2026-01-09,Drinking Water,840000,Road connectivity,Under Review,2026-02-25,Synthetic demonstration record
REC-00325,MPLADS-SYN-0325,MP-496,2025-11-16,Community Hall,1870000,Local infrastructure need,Under Review,2025-12-01,Synthetic demonstration record
REC-00326,MPLADS-SYN-0326,MP-880,2026-02-11,Road,2980000,Road connectivity,Under Review,2026-04-04,Synthetic demonstration record
REC-00327,MPLADS-SYN-0327,MP-830,2025-11-27,Solar Lighting,270000,Road connectivity,Approved,2026-01-13,Synthetic demonstration record
REC-00328,MPLADS-SYN-0328,MP-239,2026-05-10,Solar Lighting,420000,Road connectivity,Under Review,2026-06-20,Synthetic demonstration record
REC-00329,MPLADS-SYN-0329,MP-142,2026-04-19,School Building,1920000,Public utility improvement,Under Review,2026-05-05,Synthetic demonstration record
REC-00330,MPLADS-SYN-0330,MP-971,2025-11-25,Solar Lighting,1180000,Water and sanitation,Under Review,2026-01-01,Synthetic demonstration record
REC-00331,MPLADS-SYN-0331,MP-715,2025-10-30,Solar Lighting,710000,Public utility improvement,Under Review,2025-12-05,Synthetic demonstration record
REC-00332,MPLADS-SYN-0332,MP-623,2025-12-12,Solar Lighting,1350000,Local infrastructure need,Approved,2026-01-28,Synthetic demonstration record
REC-00333,MPLADS-SYN-0333,MP-779,2026-03-17,Sports Facility,1550000,Public utility improvement,Rejected,2026-04-29,Synthetic demonstration record
REC-00334,MPLADS-SYN-0334,MP-407,2025-10-21,Street Lighting,700000,Water and sanitation,Rejected,2025-12-15,Synthetic demonstration record
REC-00335,MPLADS-SYN-0335,MP-604,2025-10-16,Drainage,1870000,Road connectivity,Under Review,2025-12-06,Synthetic demonstration record
REC-00336,MPLADS-SYN-0336,MP-478,2026-06-02,Community Hall,3320000,Road connectivity,Approved,2026-06-25,Synthetic demonstration record
REC-00337,MPLADS-SYN-0337,MP-626,2026-02-13,Drinking Water,1820000,Water and sanitation,Approved,2026-03-18,Synthetic demonstration record
REC-00338,MPLADS-SYN-0338,MP-931,2025-12-01,Library,1310000,Public utility improvement,Rejected,2026-01-23,Synthetic demonstration record
REC-00339,MPLADS-SYN-0339,MP-730,2026-01-15,Road,760000,Local infrastructure need,Approved,2026-03-02,Synthetic demonstration record
REC-00340,MPLADS-SYN-0340,MP-827,2025-12-13,Library,310000,Road connectivity,Under Review,2026-01-20,Synthetic demonstration record
REC-00341,MPLADS-SYN-0341,MP-391,2025-12-04,Community Hall,1000000,Community facility,Under Review,2026-01-24,Synthetic demonstration record
REC-00342,MPLADS-SYN-0342,MP-854,2025-10-21,Community Hall,1780000,Water and sanitation,Rejected,2025-11-21,Synthetic demonstration record
REC-00343,MPLADS-SYN-0343,MP-546,2025-12-04,Solar Lighting,350000,Water and sanitation,Approved,2025-12-31,Synthetic demonstration record
REC-00344,MPLADS-SYN-0344,MP-677,2025-09-15,Street Lighting,1210000,Road connectivity,Rejected,2025-11-11,Synthetic demonstration record
REC-00345,MPLADS-SYN-0345,MP-220,2026-03-31,Library,1250000,Public utility improvement,Under Review,2026-05-08,Synthetic demonstration record
REC-00346,MPLADS-SYN-0346,MP-326,2026-03-18,Drinking Water,660000,Road connectivity,Approved,2026-04-12,Synthetic demonstration record
REC-00347,MPLADS-SYN-0347,MP-541,2025-10-16,Health Facility,1120000,Water and sanitation,Under Review,2025-12-09,Synthetic demonstration record
REC-00348,MPLADS-SYN-0348,MP-484,2026-04-14,Sports Facility,1820000,Road connectivity,Approved,2026-05-08,Synthetic demonstration record
REC-00349,MPLADS-SYN-0349,MP-602,2026-04-19,Drinking Water,1240000,Public utility improvement,Rejected,2026-05-29,Synthetic demonstration record
REC-00350,MPLADS-SYN-0350,MP-302,2026-03-20,School Building,3420000,Local infrastructure need,Under Review,2026-04-27,Synthetic demonstration record
REC-00351,MPLADS-SYN-0351,MP-810,2026-01-18,Sports Facility,1820000,Public utility improvement,Under Review,2026-02-08,Synthetic demonstration record
REC-00352,MPLADS-SYN-0352,MP-752,2026-03-10,Library,1430000,Local infrastructure need,Approved,2026-04-15,Synthetic demonstration record
REC-00353,MPLADS-SYN-0353,MP-473,2026-04-04,Street Lighting,1070000,Road connectivity,Approved,2026-05-07,Synthetic demonstration record
REC-00354,MPLADS-SYN-0354,MP-464,2025-12-25,School Building,4060000,Community facility,Under Review,2026-02-01,Synthetic demonstration record
REC-00355,MPLADS-SYN-0355,MP-920,2025-11-30,Drinking Water,1430000,Public utility improvement,Approved,2026-01-11,Synthetic demonstration record
REC-00356,MPLADS-SYN-0356,MP-779,2025-12-10,Community Hall,3170000,Public utility improvement,Approved,2026-01-17,Synthetic demonstration record
REC-00357,MPLADS-SYN-0357,MP-595,2025-11-30,Community Hall,880000,Water and sanitation,Rejected,2026-01-16,Synthetic demonstration record
REC-00358,MPLADS-SYN-0358,MP-673,2026-05-30,Drinking Water,1380000,Community facility,Under Review,2026-06-14,Synthetic demonstration record
REC-00359,MPLADS-SYN-0359,MP-922,2026-02-25,Solar Lighting,1030000,Community facility,Approved,2026-03-13,Synthetic demonstration record
REC-00360,MPLADS-SYN-0360,MP-527,2025-12-07,Health Facility,1970000,Local infrastructure need,Under Review,2026-01-03,Synthetic demonstration record
REC-00361,MPLADS-SYN-0361,MP-585,2026-04-10,Health Facility,3230000,Local infrastructure need,Under Review,2026-05-16,Synthetic demonstration record
REC-00362,MPLADS-SYN-0362,MP-582,2026-02-22,School Building,2480000,Community facility,Under Review,2026-03-19,Synthetic demonstration record
REC-00363,MPLADS-SYN-0363,MP-740,2026-01-19,Drainage,2330000,Community facility,Rejected,2026-03-12,Synthetic demonstration record
REC-00364,MPLADS-SYN-0364,MP-328,2026-06-04,Solar Lighting,1630000,Water and sanitation,Rejected,2026-06-21,Synthetic demonstration record
REC-00365,MPLADS-SYN-0365,MP-798,2025-12-26,Sports Facility,1050000,Public utility improvement,Approved,2026-02-21,Synthetic demonstration record
REC-00366,MPLADS-SYN-0366,MP-530,2026-01-06,School Building,3490000,Local infrastructure need,Under Review,2026-03-03,Synthetic demonstration record
REC-00367,MPLADS-SYN-0367,MP-125,2026-02-05,Library,760000,Local infrastructure need,Approved,2026-03-15,Synthetic demonstration record
REC-00368,MPLADS-SYN-0368,MP-909,2026-03-18,Drainage,1490000,Community facility,Approved,2026-05-10,Synthetic demonstration record
REC-00369,MPLADS-SYN-0369,MP-195,2026-06-23,School Building,3890000,Local infrastructure need,Under Review,2026-07-21,Synthetic demonstration record
REC-00370,MPLADS-SYN-0370,MP-144,2025-12-23,Street Lighting,1430000,Public utility improvement,Rejected,2026-01-25,Synthetic demonstration record
REC-00371,MPLADS-SYN-0371,MP-133,2026-04-09,Health Facility,2760000,Community facility,Approved,2026-06-06,Synthetic demonstration record
REC-00372,MPLADS-SYN-0372,MP-851,2025-12-20,Library,1180000,Public utility improvement,Approved,2026-02-09,Synthetic demonstration record
REC-00373,MPLADS-SYN-0373,MP-348,2025-12-26,Solar Lighting,1750000,Water and sanitation,Approved,2026-01-21,Synthetic demonstration record
REC-00374,MPLADS-SYN-0374,MP-781,2026-06-18,Health Facility,1000000,Public utility improvement,Rejected,2026-08-05,Synthetic demonstration record
REC-00375,MPLADS-SYN-0375,MP-770,2026-05-05,Health Facility,4320000,Local infrastructure need,Approved,2026-06-22,Synthetic demonstration record
REC-00376,MPLADS-SYN-0376,MP-390,2026-01-25,School Building,1450000,Water and sanitation,Approved,2026-03-07,Synthetic demonstration record
REC-00377,MPLADS-SYN-0377,MP-542,2026-01-08,Sports Facility,760000,Water and sanitation,Approved,2026-02-09,Synthetic demonstration record
REC-00378,MPLADS-SYN-0378,MP-856,2025-12-18,Road,700000,Local infrastructure need,Approved,2026-01-21,Synthetic demonstration record
REC-00379,MPLADS-SYN-0379,MP-816,2026-02-02,Solar Lighting,360000,Local infrastructure need,Approved,2026-03-07,Synthetic demonstration record
REC-00380,MPLADS-SYN-0380,MP-860,2025-11-17,Sports Facility,750000,Water and sanitation,Rejected,2025-12-20,Synthetic demonstration record
REC-00381,MPLADS-SYN-0381,MP-384,2026-04-07,Community Hall,2720000,Public utility improvement,Rejected,2026-05-11,Synthetic demonstration record
REC-00382,MPLADS-SYN-0382,MP-968,2026-06-16,Drainage,2310000,Local infrastructure need,Under Review,2026-07-30,Synthetic demonstration record
REC-00383,MPLADS-SYN-0383,MP-672,2026-02-16,Drinking Water,640000,Public utility improvement,Approved,2026-04-03,Synthetic demonstration record
REC-00384,MPLADS-SYN-0384,MP-940,2026-04-25,Health Facility,2500000,Water and sanitation,Rejected,2026-05-25,Synthetic demonstration record
REC-00385,MPLADS-SYN-0385,MP-708,2025-11-09,Street Lighting,1040000,Road connectivity,Approved,2026-01-06,Synthetic demonstration record
REC-00386,MPLADS-SYN-0386,MP-662,2025-10-30,Health Facility,2900000,Water and sanitation,Rejected,2025-12-03,Synthetic demonstration record
REC-00387,MPLADS-SYN-0387,MP-724,2025-11-30,Drinking Water,1940000,Community facility,Approved,2026-01-03,Synthetic demonstration record
REC-00388,MPLADS-SYN-0388,MP-639,2025-11-07,Drainage,1800000,Water and sanitation,Approved,2025-12-11,Synthetic demonstration record
REC-00389,MPLADS-SYN-0389,MP-493,2026-01-20,Health Facility,4090000,Community facility,Approved,2026-03-12,Synthetic demonstration record
REC-00390,MPLADS-SYN-0390,MP-820,2026-04-03,Library,840000,Road connectivity,Approved,2026-04-23,Synthetic demonstration record
REC-00391,MPLADS-SYN-0391,MP-438,2025-11-06,Drinking Water,1900000,Water and sanitation,Rejected,2025-12-10,Synthetic demonstration record
REC-00392,MPLADS-SYN-0392,MP-247,2025-11-14,Drainage,1330000,Public utility improvement,Under Review,2025-11-29,Synthetic demonstration record
REC-00393,MPLADS-SYN-0393,MP-741,2025-11-20,Health Facility,2180000,Water and sanitation,Approved,2026-01-09,Synthetic demonstration record
REC-00394,MPLADS-SYN-0394,MP-924,2025-12-06,Drinking Water,600000,Water and sanitation,Under Review,2026-01-27,Synthetic demonstration record
